ds,unique_id,중국 니켈 SEMIS 수입량,미국 생산자물가지수,광물종합지수,원면 [브라질(수출가 FOB)] 현물,옥수수 For Grain [미국(생산자 가격)] 현물,커피 Arabicas [미국/유럽] 현물,WTI [CME(NYMEX)] 2022.12,미국 소비자물가지수,대두유 crude and refined average price [파라나구아(FOB)] 현물,대두 [미국(생산자 가격)] 현물,미국 근원소비자물가지수,탄화규소 88% 0-10mm [중국(FOB)] 현물,소맥 Durum [미국(생산자 가격)] 현물,Howe Robinson Container Index,대두박 [파라나구아(FOB)] 현물,보일러용 후판 Q245R 30mm Xinyu Steel [중국] 현물,GDP_SAU,HOUSECOST_KOR,PPP_POL,PPP_SRB
2016-01-01,A,1034156,190.8,1000,1485.8,366,116.389,35.59083333,237.65,740.36,1030,244.96,626.5,660,449.75,288.59,4410.588235,795661.5358,99.33073717,1.765116,40.737336
2016-02-01,A,704870,189.4,1041.302857,1489,357,117.662381,35.63055556,237.34,719.58,991,245.51,636.25,597,447.75,280.9,4410.588235,795661.5358,99.33073717,1.765116,40.737336
2016-03-01,A,1209299,189.8,1108.910952,1475.3,357,125.7363636,41.1626087,238.08,659.62,985,245.91,625.2173913,604,449,273.32,4410.588235,795661.5358,99.33073717,1.765116,40.737336
2016-04-01,A,1231497,190.4,1124.755238,1451.5,358,123.2457143,43.52428571,238.99,671.39,969,246.55,598,624,443,292.83,4410.588235,795661.5358,99.81275061,1.765116,40.737336
2016-05-01,A,1055474,191.1,1111.572,1433.8,368,124.2536364,48.28045455,239.56,715.72,958,247.14,595,657,447,385.4,4410.588235,795661.5358,99.81275061,1.765116,40.737336
2016-06-01,A,1244647,192.4,1106.959545,1436.8,382,133.3563636,50.44681818,240.22,706.68,958,247.54,593.1578947,650,440,430.4,4410.588235,795661.5358,99.81275061,1.765116,40.737336
2016-07-01,A,1352646,192.4,1191.234286,1401.1,360,140.2504762,47.04095238,240.1,654.46,995,247.83,590,647,437.25,415.1,4410.588235,795661.5358,100.2222692,1.765116,40.737336
2016-08-01,A,1655182,191.8,1241.140455,1511.7,321,137.333913,46.88304348,240.55,626.88,971,248.42,590,559,429.3333333,369.81,4410.588235,795661.5358,100.2222692,1.765116,40.737336
2016-09-01,A,1212844,192.6,1277.183636,1564.8,322,145.61,46.99,241.18,615.3,905,248.84,590,562,416,341.01,4410.588235,795661.5358,100.2222692,1.765116,40.737336
2016-10-01,A,1273870,193.7,1366.497619,1556.8,329,148.5938095,51.51333333,241.74,679.24,881,249.14,590,552,409.25,324.43,4410.588235,795661.5358,100.634243,1.765116,40.737336
2016-11-01,A,1558635,193.3,1533.503636,1557.9,323,153.5109091,47.95863636,242.03,662.43,868,249.48,591.3636364,600,400.8,324.43,4410.588235,795661.5358,100.634243,1.765116,40.737336
2016-12-01,A,1558864,195,1543.4555,1574.1,333,133.5731818,54.62857143,242.64,665.83,876,249.92,595,627,392.3333333,326.49,4410.588235,795661.5358,100.634243,1.765116,40.737336
2017-01-01,A,934911,196.6,1526.69,1563.9,340,142.4459091,54.72380952,243.62,647.6,871,250.47,599.7222222,602,400.5,338.26,4410.588235,760980.9272,100.6890164,1.732843,40.45503
2017-02-01,A,1682775,197.2,1568.727,1646.2,344,143.5325,54.6505,244.01,679.57,851,251,600,571,411.75,341.92,4410.588235,760980.9272,100.6890164,1.732843,40.45503
2017-03-01,A,1709977,197.1,1568.301739,1699.1,349,137.3669565,50.90869565,243.89,687.17,856,250.94,588.8636364,572,485,326.8,4410.588235,760980.9272,100.6890164,1.732843,40.45503
2017-04-01,A,1603647,198.1,1567.3305,1784.7,343,134.3542105,52.187,244.19,745.82,904,251.23,591.9444444,590,603,304.95,4410.588235,760980.9272,100.6524093,1.732843,40.45503
2017-05-01,A,2449925,196.1,1452.373913,1828,345,129.6408696,49.40652174,244,722.12,976,251.43,595,582,601.2,315.24,4410.588235,760980.9272,100.6524093,1.732843,40.45503
2017-06-01,A,2619419,196.2,1422.775,1829,343,121.8004545,45.85318182,244.16,707.76,1020,251.75,595,669,545.25,300.35,4410.588235,760980.9272,100.6524093,1.732843,40.45503
2017-07-01,A,2925849,196.3,1526.552857,1632.7,349,127.6680952,47.26428571,244.24,688.55,1020,251.99,595,630,539,317.57,4410.588235,760980.9272,100.6720567,1.732843,40.45503
2017-08-01,A,2488625,197.4,1670.071304,1615.1,327,130.6752174,48.66608696,245.18,752.39,993,252.54,605.2173913,693,583.8,301.68,4410.588235,760980.9272,100.6720567,1.732843,40.45503
2017-09-01,A,2483878,199,1696.14381,1602.5,327,128.3580952,50.75761905,246.44,757.39,943,252.81,655.7142857,632,630,320.43,4410.588235,760980.9272,100.6720567,1.732843,40.45503
2017-10-01,A,2162850,199.6,1670.995909,1590.63,326,122.7336364,52.08454545,246.63,805.56,930,253.53,678.2352941,641,610,324.84,4410.588235,760980.9272,100.7165759,1.732843,40.45503
2017-11-01,A,2572079,201.3,1686.400455,1611.5,315,122.5272727,56.86,247.28,805.56,946,253.82,691.8181818,653,588.2,326.99,4410.588235,760980.9272,100.7165759,1.732843,40.45503
2017-12-01,A,3238092,201.8,1759.611,1634.9,323,120.869,57.7652381,247.81,799.39,964,254.34,728.0952381,625,597.3333333,337.38,4410.588235,760980.9272,100.7165759,1.732843,40.45503
2018-01-01,A,3392690,202.2,1855.288182,1646.5,329,123.5163636,63.08285714,248.74,793.38,971,255.07,828.1818182,612,628.4,339,4410.588235,806876.7969,100.5783416,1.742879,40.821015
2018-02-01,A,2682153,202.8,1848.0185,1703.9,338,120.869,61.346,249.44,765.33,986,255.57,830,620,651.5,392.17,4410.588235,806876.7969,100.5783416,1.742879,40.821015
2018-03-01,A,3449930,202.9,1754.912727,1742.7,351,119.3442857,61.94409091,249.58,729.67,969,256.13,830,567,715,400.63,4410.588235,806876.7969,100.5783416,1.742879,40.821015
2018-04-01,A,2830495,202.8,1733.675238,1752.9,358,118.6928571,65.29666667,250.15,710.21,932,256.6,848.9473684,566,768.5,423.66,4410.588235,806876.7969,100.7410018,1.742879,40.821015
2018-05-01,A,3106975,203.7,1780.44,1826.2,367,118.7652174,69.06956522,250.78,731.97,926,257.15,849.5454545,602,817,422.02,4410.588235,806876.7969,100.7410018,1.742879,40.821015
2018-06-01,A,2752137,204,1826.924286,1847.2,358,113.379,65.66952381,251.12,737,910,257.45,841.5,633,843.5,388.12,4410.588235,806876.7969,100.7410018,1.742879,40.821015
2018-07-01,A,3601597,204.4,1734.174545,1853.9,347,108.6440909,67.37636364,251.32,749.01,942,257.85,850,579,817,373.5,4410.588235,806876.7969,100.7773441,1.742879,40.821015
2018-08-01,A,3862771,204.7,1704.53913,1804.9,336,102.4031818,66.41173913,251.75,759.48,924,258.03,855.8695652,505,761,356.45,4410.588235,806876.7969,100.7773441,1.742879,40.821015
2018-09-01,A,4492722,205.2,1697.076,1739.4,339,97.4925,69.212,252.24,782.96,935,258.51,865,500,730.75,352.7,4410.588235,806876.7969,100.7773441,1.742879,40.821015
2018-10-01,A,2059357,207,1727.513478,1735.2,341,112.986087,70.97695652,252.86,765.27,918,259,878.8888889,491,683.5,350.48,4410.588235,806876.7969,100.7354716,1.742879,40.821015
2018-11-01,A,3119937,205.1,1680.323636,1735.3,341,111.5377273,57.75818182,252.66,781.97,922,259.46,872.9545455,472,624.5,336.74,4390.454545,806876.7969,100.7354716,1.742879,40.821015
2018-12-01,A,2321272,204.2,1666.015,1732.3,354,99.982,50.34578947,252.55,747.3,930,259.93,870,477,612.3333333,325.81,4552.380952,806876.7969,100.7354716,1.742879,40.821015
2019-01-01,A,4342297,202.7,1635.562273,1729.1,356,101.1045455,52.5852381,252.47,756.22,930,260.53,865,486,595,330.93,4514.090909,846400.1619,100.8865719,1.748426,41.00432
2019-02-01,A,2288198,203.7,1684.8225,1702.2,360,99.1685,56.32473684,253.14,745.1,949,260.89,866.6666667,473,608.25,326,4516.153846,846400.1619,100.8865719,1.748426,41.00432
2019-03-01,A,3626825,205.4,1699.19619,1702.2,361,95.52857143,59.12590476,254.27,740.75,981,261.38,920.4761905,505,630.25,316.63,4606.818182,846400.1619,100.8865719,1.748426,41.00432
2019-04-01,A,3946993,207,1676.481364,1704.1,352,92.603,63.85857143,255.16,750.28,983,261.96,938.8636364,485,658.5,313.66,4650,846400.1619,100.818645,1.748426,41.00432
2019-05-01,A,4292706,206.4,1634.754348,1700.4,363,92.04545455,61.00181818,255.33,706.44,984,262.32,910.2777778,491,676,308.74,4826.363636,846400.1619,100.818645,1.748426,41.00432
2019-06-01,A,4307961,205.4,1590.0495,1670.7,398,100.797,54.907,255.36,682.38,955,262.95,886.5789474,558,692.25,329.36,4882,846400.1619,100.818645,1.748426,41.00432
2019-07-01,A,4548827,205.9,1629.392174,1584.3,416,104.9565217,57.55818182,255.9,670.8,908,263.49,864.2173913,553,720,311.8,4855.454545,846400.1619,100.8204648,1.748426,41.00432
2019-08-01,A,3429530,205.4,1511.414091,1593.3,393,95.8725,54.21090909,256.18,654.72,859,264.14,855.6818182,467,769,304.9,4937.391304,846400.1619,100.8204648,1.748426,41.00432
2019-09-01,A,4064117,205.2,1507.298571,1606.9,380,98.5185,56.051,256.6,650.14,877,264.59,828.6111111,465,805,297.15,4940.526316,846400.1619,100.8204648,1.748426,41.00432
2019-10-01,A,4169242,206.6,1520.704348,1612.4,384,97.49173913,53.73478261,257.31,679.68,858,265.02,806.6666667,463,797.8,309.99,4893.888889,846400.1619,100.8716123,1.748426,41.00432
2019-11-01,A,4098938,207.1,1492.982381,1607.7,368,109.4847619,56.5855,257.79,654.49,837,265.46,791.9047619,415,781.75,314.51,4746.363636,846400.1619,100.8716123,1.748426,41.00432
2019-12-01,A,2348416,208,1503.958571,1596.8,371,126.3566667,59,258.26,628.92,857,265.74,769.7727273,444,770,327.59,4492.5,846400.1619,100.8716123,1.748426,41.00432
2020-01-01,A,4010132.58,207.9,1534.001364,1570,379,110.7268182,57.11571429,258.68,555.07,863,266.42,745,469,768,320.32,4442.272727,863824.9441,100.5321042,1.723423,40.229964
2020-02-01,A,5711967,206.5,1481.0555,1577.6,378,102.617,51.09578947,259.01,679.29,852,267.08,745,496,747.5,326.61,4454,863824.9441,100.5321042,1.723423,40.229964
2020-03-01,A,4179096,202.1,1427.549091,1583.9,368,112.8695455,33.48409091,258.17,651.24,852,266.92,741.5909091,546,704.75,334.59,4470,863824.9441,100.5321042,1.723423,40.229964
2020-04-01,A,4276764,196.4,1351.206364,1561.2,329,111.2195455,29.117,256.09,628.64,828,265.77,710.6818182,526,658.2,326.57,4584.545455,863824.9441,100.0062606,1.723423,40.229964
2020-05-01,A,2947487,200.2,1320.066667,1497.9,320,101.69,31.199,255.94,629.72,802,265.61,690,527,572,310.82,4626,863824.9441,100.0062606,1.723423,40.229964
2020-06-01,A,3278770,201,1388.400909,1474.9,316,92.55863636,38.90909091,257.22,628.64,831,266.09,681.6666667,652,502.25,321.87,4597.368421,863824.9441,100.0062606,1.723423,40.229964
2020-07-01,A,3069970,202.1,1436.745652,1497.9,321,97.96043478,41.27363636,258.54,632.68,837,267.55,650.2173913,613,537.6,322.8,4521.304348,863824.9441,99.62312953,1.723423,40.229964
2020-08-01,A,2586692,202.4,1487.37,1407.2,312,111.787619,43.26285714,259.58,670.8,822,268.66,640.2380952,559,672,341.92,4400.454545,863824.9441,99.62312953,1.723423,40.229964
2020-09-01,A,3419136,202.9,1527.41,1452.6,340,113.8140909,40.69238095,260.19,681.39,835,269.15,653.6363636,565,783.5,379.84,4335.263158,863824.9441,99.62312953,1.723423,40.229964
2020-10-01,A,3128088,204.1,1559.141818,1509.6,361,100.3727273,40.50727273,260.35,677.87,860,269.33,684.3333333,565,851.6666667,438.21,4283.333333,863824.9441,99.77909629,1.723423,40.229964
2020-11-01,A,2562155,204.3,1623.305714,1500.5,379,106.4114286,42.18,260.72,708.5,859,269.82,704.047619,582,1053,465.1,4222.380952,863824.9441,99.77909629,1.723423,40.229964
2020-12-01,A,3669656,206,1807.827727,1527.9,397,115.2761905,47.40818182,261.56,740.23,870,269.98,748.0434783,587,1173.25,453.54,4190.909091,863824.9441,99.77909629,1.723423,40.229964
2021-01-01,A,3358538,208.7,1925.582,1552.1,424,116.691,51.873,262.2,775.69,884,270.11,769.5,588,1242.5,510.06,4175.333333,837455.9006,100.3361012,1.746742,40.798796
2021-02-01,A,4410063,211.8,2023.1885,1603.4,475,120.0635,58.12,263.35,721.73,859,270.52,770,637,1410,483.53,4163,837455.9006,100.3361012,1.746742,40.798796
2021-03-01,A,3740357,213.9,2059.159565,1670.4,489,122.1613043,61.57652174,265.03,613.32,846,271.35,784.3478261,600,1633.5,429.27,4227.272727,837455.9006,100.3361012,1.746742,40.798796
2021-04-01,A,3880968,215.1,2123.275,1699.8,531,124.1768182,61.21545455,266.73,591.45,835,273.67,790,646,1854.5,408.29,4150,837455.9006,101.0991605,1.746742,40.798796
2021-05-01,A,3391059,217,2305.331429,1743,591,140.8461905,64.3975,268.6,590.89,828,275.72,801.8333333,715,2147.5,449.03,4180,837455.9006,101.0991605,1.746742,40.798796
2021-06-01,A,4907676,219.9,2448.952273,1759.2,600,147.9622727,69.50045455,270.96,662.04,834,277.92,836.9047619,714,2568.8,425.88,4250,837455.9006,101.0991605,1.746742,40.798796
2021-07-01,A,12593796.69,221.41,2537.031818,1666.1,612,160.745,70.13380952,272.18,719.63,850,278.79,884.3181818,769,3357.333333,423.8,4327.826087,837455.9006,102.0521631,1.746742,40.798796
2021-08-01,A,30612432.38,223.698,2590.921818,1738.4,632,174.555,66.58954545,273.09,776.96,866,279.31,900,1000,4260.5,415.26,4384.761905,837455.9006,102.0521631,1.746742,40.798796
2021-09-01,A,63126586.81,226.959,2682.076364,1695.2,545,183.7159091,70.37333333,274.21,853.14,924,280.02,973.5714286,1380,4756.666667,414.26,4392.727273,837455.9006,102.0521631,1.746742,40.798796
2021-10-01,A,114299264.5,230.088,2902.719048,1715.8,502,199.9761905,78.69238095,276.59,889.72,963,281.71,1487,1390,4768.75,391.95,4400,837455.9006,103.4675092,1.746742,40.798796
2021-11-01,A,188293470,231.921,2565.494091,1743.6,527,218.9081818,75.70545455,278.52,964.84,1030,283.18,1410.681818,1400,4434.25,391.8,4397.142857,837455.9006,103.4675092,1.746742,40.798796
2021-12-01,A,289272207.7,232.047,2689.218696,1801.9,547,229.7173913,70.81318182,280.13,945.99,1050,284.77,1315,1280,4509,419.58,4722.608696,837455.9006,103.4675092,1.746742,40.798796
2022-01-01,A,421398482.3,235.756,2971.47619,1909.2,557,233.7042857,80.5555,281.93,989.04,1090,286.43,1315,1490,4743.75,463.97,5004.5,1751177.858,105.7072308,1.823305,42.392183
2022-02-01,A,588835298.3,241.634,3221.695,1922.9,610,245.0445,86.68789474,284.18,1047.9,1270,287.88,1316.875,1590,5252.25,542.32,5047,1751177.858,105.7072308,1.823305,42.392183
2022-03-01,A,795745660.2,246.51,3797.498261,1974.7,656,222.5143478,99.36130435,287.71,1192.64,1320,288.81,1386.304348,1530,5771,578.09,5410,1751177.858,105.7072308,1.823305,42.392183
2022-04-01,A,1046292572,248.57,3844.134286,2255.1,708,226.235,98.447,288.66,1269.63,1390,290.46,1404.047619,1550,5680.666667,527.69,5894.090909,1751177.858,108.1714017,1.823305,42.392183
2022-05-01,A,1344639040,252.91,3650.195455,2319.8,726,217.7763636,102.3409524,291.47,1339.88,1480,292.29,1302,1430,5590.333333,479.2,6534.444444,1751177.858,108.1714017,1.823305,42.392183
2022-06-01,A,1694948066,259.75,3546.558182,2517.9,737,230.3945455,106.6595238,295.33,1217.95,1450,294.35,1285,1200,5613.2,486.05,6272.857143,1751177.858,108.1714017,1.823305,42.392183
