date,unique_id,Shanghai Containerized Freight Index (SCFI),대두 [미국(생산자 가격)] 현물,대두유 crude and refined average price [파라나구아(FOB)] 현물,보일러용 후판 Q245R 30mm Xinyu Steel [중국] 현물,HOUSECOST_KOR
2022-01-31,A,2871.495,1090,989.04,5004.5,105.7072308
2022-02-28,A,2840.395,1270,1047.9,5047,105.7072308
2022-03-31,A,2628.505,1320,1192.64,5410,105.7072308
2022-04-30,A,2830.292,1390,1269.63,5894.090909,108.1714017
2022-05-31,A,3341.69,1480,1339.88,6534.444444,108.1714017
2022-06-30,A,3712.69,1450,1217.95,6272.857143,108.1714017
2022-07-31,A,4037.63,1410,1252.71,6202.727273,110.5975661
2022-08-31,A,4308.2975,1370,1323.09,6175,110.5975661
2022-09-30,A,4584.2775,1220,1308.83,6166.190476,110.5975661
2022-10-31,A,4596.585,1190,1384.21,6243.333333,112.0829828
2022-11-30,A,4561.785,1220,1397.94,5979.545455,112.0829828
2022-12-31,A,4887.068,1250,1327.74,5853.913043,112.0829828
